admit,gpa,gre
0,3.17727726,594.1029916
0,3.412655359,631.5286067
0,2.728097144,553.7143989
0,3.093559077,551.0899851
0,3.141922829,537.1848938
0,3.599107765,442.7635672
0,3.238971963,667.4721889
0,3.420176822,561.7139053
1,3.414375568,704.9342166
0,3.562482406,590.3403714
0,3.910494575,463.470183
0,3.26434121,636.4531655
0,3.308623371,604.4055578
1,3.652732899,662.8542605
0,3.018921915,567.7148297
1,3.040573362,730.1355661
0,3.151834406,503.3072984
0,3.298132751,628.1782052
0,2.652201106,644.3002615
0,3.115603262,533.4798096
1,2.902208558,664.9388125
0,3.105241833,562.9397149
0,3.212379517,545.8789704
0,3.010654413,537.0291024
0,3.520869794,534.1274998
1,3.307680965,715.0000755
0,2.907485117,532.5146989
1,3.160208107,664.1481533
0,3.014994834,472.6367693
0,3.400367879,693.314506
0,2.848407877,390.3635629
0,3.443319042,629.3674034
0,3.24258381,648.4938925
0,3.122303555,714.2453378
0,2.621257317,622.0926458
0,2.782771503,585.6995326
0,2.705202335,580.6915396
1,3.052436162,661.4012287
0,2.957306148,620.7398706
0,3.403424324,599.5376226
0,3.354182502,604.5885901
0,2.792631913,578.1292242
0,3.39330184,614.0527552
1,3.399581123,649.4829747
0,3.531760721,478.9488913
0,3.660034827,572.1042945
0,3.312289522,575.7970362
0,2.941452978,632.751503
0,3.197952976,509.8206497
0,3.080793679,567.6440238
0,3.317479647,508.3609106
0,3.561177562,547.8439297
0,3.040222473,641.4122308
0,3.093927608,643.8147822
0,3.088539603,593.1053038
0,2.830827614,475.6976817
0,3.205333221,566.9137035
1,3.179445031,730.248802
0,2.6952944,675.9908868
1,3.968276188,621.3547855
0,3.179026706,518.262884
1,3.02204416,614.5545268
1,3.582525409,574.1386028
1,3.880944281,628.9127369
0,3.231028793,581.4718388
0,2.737658094,687.34858
0,2.929493901,580.2858931
1,3.08498992,617.237109
0,3.480261538,497.196442
0,3.668730743,521.0679087
0,2.824548449,548.9559658
0,3.434117329,547.9044726
0,3.037244328,538.850119
0,2.953115656,590.7452977
0,3.471190653,603.0411687
0,3.049960821,602.0018835
1,2.907652427,657.0922296
0,2.697763136,536.3786457
1,3.512115775,653.7442601
0,3.455818482,546.0301573
0,3.742055567,618.428223
1,3.59222595,653.2780413
0,3.481769241,619.2931222
0,3.027542182,595.4575192
0,2.811848759,502.3348982
0,3.542400251,548.1661263
0,2.961641805,641.3979571
0,3.540527313,484.0586149
1,3.757647218,678.2653558
0,3.69141672,496.2739372
1,3.663139658,649.3489115
0,3.116568257,650.3212159
0,2.755856347,693.4515484
0,3.749812493,541.4266632
0,3.37421236,635.9033367
0,3.073759231,653.9922819
0,3.737269767,536.2438612
1,3.184699064,790.8941019
0,3.235722795,455.9251548
0,2.804510785,673.4062959
0,3.278169391,633.0014819
0,2.829532559,538.0920525
0,3.230801551,628.4161104
0,3.449041989,620.1809349
0,2.698460831,581.6860272
1,3.274541645,625.6097948
0,3.336940819,489.9317567
1,3.406306304,750.9437652
0,2.822864549,589.6148178
0,3.059939525,477.2309921
0,3.265315326,532.5645751
0,3.036726267,562.1632689
1,3.265542483,624.2916858
0,3.498628338,632.1336626
0,3.519353534,502.6853937
0,2.771823908,549.111663
0,3.310184859,505.3810021
0,3.305589896,578.6277372
0,3.095236967,499.9831448
0,3.168852272,632.2010917
